income decile,carbon payment,carbon revenue,net gain,calc_tCO2
1,109.37499999999996,168.40277777777777,62.49999999999997,1.8229166666666659
2,133.68055555555554,168.40277777777777,34.72222222222217,2.228009259259259
3,125.86805555555556,168.40277777777777,41.66666666666663,2.097800925925926
4,163.19444444444446,168.40277777777777,5.208333333333286,2.7199074074074074
5,159.72222222222226,168.40277777777777,7.812499999999943,2.6620370370370376
6,176.21527777777774,168.40277777777777,-8.6805555555556,2.936921296296296
7,179.6875,168.40277777777777,-11.284722222222225,2.9947916666666665
8,203.125,168.40277777777777,-34.722222222222285,3.3854166666666665
9,205.72916666666663,168.40277777777777,-37.32638888888891,3.4288194444444438
10,229.16666666666663,168.40277777777777,-60.76388888888897,3.8194444444444438
